"Title","Type","Availability","MSRP Currency","MSRP","Show Price Currency","Show Price","Publisher","Location","Priority","Notes","Thumbs","BGGId","BGGVersionId","Mfg Product Code","Release Date","Override Release Date","Events"
"Hotshots","Standalone","Demo","USD",49.95,"USD",49.95,"Fireside Games","2228","N/A","N/A",13,"218050","797524","FSD1024","2026-00-00","",""
"War of the Ring: The Card Game – Hope and Despair","Expansion","Demo","N/A","N/A","N/A","N/A","Ares Games","#331","N/A","N/A",14,"463092","788179","WOTR104","0000-00-00","Q4 2026",""
"War of the Ring: Sieges of Middle-earth","Expansion","Demo","N/A","N/A","N/A","N/A","Ares Games","#331","N/A","N/A",16,"463030","788077","WOTR025","0000-00-00","Q4 2026",""
"Nippon: Zaibatsu","Standalone","For Sale","USD",95,"USD",95,"CrowD Games","163","N/A","N/A",100,"434367","737721","","2026-02-00","",""
"Winnie the Pooh: Serious Detective","Standalone","For Sale","USD",45,"USD",45,"CrowD Games","163","N/A","N/A",50,"449448","764209","","2025-00-00","",""
"Barrage: The Far Companies","Expansion","For Sale","USD",45,"USD",45,"CrowD Games","163","N/A","N/A",48,"430436","730756","","0000-00-00","",""
"Arkham Travel Guide","Standalone","For Sale","USD",20,"USD",20,"CrowD Games","163","N/A","N/A",49,"439409","746785","","2025-10-00","",""
"Innsmouth Travel Guide","Standalone","For Sale","USD",22,"USD",22,"CrowD Games","163","N/A","N/A",46,"447571","760952","CGA18002","2025-10-00","",""
"Echoes of Time","Standalone","For Sale","USD",55,"USD",55,"CrowD Games","163","N/A","N/A",64,"441850","765457","CGA22001","0000-00-00","Oct 2025",""
"Tag Team: Arthur's Legacy","Standalone","For Sale","USD",19.99,"USD",19.99,"Scorpion Masqué","Hachette Boardgames USA Booth 2435","N/A","N/A",66,"460556","792774","SMTT02EN","0000-00-00","",""
"Omens","Standalone","For Sale","USD",19.99,"USD",19.99,"Hachette Boardgames USA","Booth 2435","N/A","N/A",8,"428787","795627","","2026-08-05","",""
